#NAME	EI_01	EI_02	EI_03	EI_04	EI_05	EI_06	EI_07	EI_08	EI_09	EI_10	EI_11	EI_12	EI_13	EI_14	EI_15	EI_16	EI_17	EI_18	EI_19	EI_20	EI_21	EI_22	EI_23	EI_24
#CLASS:Condition	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected
#CLASS:Treatment	Sham	Sham	Sham	Sham	Sham	Sham	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Sham	Sham	Sham	Sham	Sham	Sham	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin
#CLASS:Sex	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male
ENSMUSG00000000738	12.42364072	9.262151428	10.63035843	11.45447843	14.10872501	14.0860795	6.764676271	11.1173032	10.50188291	10.18115675	10.97163773	10.67337935	12.11370728	10.31756064	8.901188158	10.80406684	10.02661063	11.30201685	10.6578248	9.143826605	8.93227312	10.87538171	13.46227786	9.810424824
ENSMUSG00000000739	0.112743545	0.019474229	0.109821065	0	0	0.075384819	0.365898562	0.282664022	0.378867541	0.773456725	0.197000389	0.691199168	1.511239201	5.847475096	1.62311752	1.720360741	1.44369834	1.202081855	0.418421207	0.264263226	0.125805318	1.101168896	1.064605134	1.40472537
ENSMUSG00000000740	421.930887	475.1489662	455.1195432	312.8865173	282.9407266	226.9121549	331.0600225	300.3221215	107.0487857	200.0398291	136.2929267	164.0156702	141.1690606	106.1509859	165.9888042	135.3163027	106.6574532	101.5464293	128.1937983	147.5303107	109.3012712	85.16161862	91.92396398	84.10234746
ENSMUSG00000000743	45.919167	37.248989	54.076382	36.587692	46.745796	43.323559	35.203712	36.078518	27.830229	28.575678	33.856956	32.618843	34.508957	29.400604	32.147728	30.411884	33.573978	33.1213	31.844429	28.888905	27.171124	25.979025	31.180346	30.414963
ENSMUSG00000000753	171.8257433	67.01445078	78.17961579	229.156719	177.110474	177.3418066	176.7524343	181.7828966	207.8546631	136.2864218	205.6510079	187.9677774	209.6866136	228.6776329	201.4360702	196.9575486	169.0992375	174.8150796	192.1006528	214.9928228	222.1009451	217.1982337	230.641446	201.525191
ENSMUSG00000000759	0	2.184728	4.162716	2.16506	1.888849	0	1.350401	0.095411	0.620884	1.194615	1.346693	0	0.093131	0.591246	0.109509	1.471345	1.493354	1.436606	0	0	1.292729	1.387838	0	0
ENSMUSG00000000776	6.348308692	4.747345859	14.31271566	4.585614009	6.811708143	3.728846909	2.093923718	3.117324853	2.731668231	2.02154004	3.31919798	2.924061124	2.789530386	3.30741548	2.363313266	3.061661475	3.143779469	3.484919817	2.568504944	2.410431846	2.501991166	3.409453431	2.341088139	1.947690935
ENSMUSG00000000787	38.75864061	36.52509689	61.92572282	31.44901983	37.65504721	29.90076798	14.50007146	22.68576199	38.94429908	16.21140878	34.97935162	20.90986457	38.30669926	41.72792525	27.54618532	22.02664709	35.98386831	37.83990336	32.90508744	30.57195111	42.46449122	29.95936709	28.42363848	28.14279711
ENSMUSG00000000811	3.672931	2.393487	5.074411	2.33097	1.79352	5.203287	1.955778	2.436065	4.151051	2.748626	4.612145	1.942738	3.258352	3.823559	3.280693	2.202229	3.223165	3.463173	4.125319	3.218963	4.532596	4.006732	4.133	4.328094
ENSMUSG00000000823	3.782918706	6.559068236	4.408677191	4.233934978	3.187780358	4.183435082	0.655469697	1.499029082	2.917866654	4.816029871	4.834094254	1.85261518	2.667203847	3.368690828	2.179513721	2.36224949	4.275284523	4.687154874	3.37677272	3.310551023	3.076495412	2.107503364	3.109809461	2.334523806
ENSMUSG00000000826	7.241934773	3.126674427	21.78899435	7.695469152	3.660829545	3.548723541	3.234407664	4.772465232	2.775639492	7.033045931	8.149704457	2.843975299	4.007367547	3.610102494	2.470954478	6.430078723	3.641330841	3.489041377	7.331131643	7.327680872	3.083143795	3.592503276	8.295493559	8.260357126
ENSMUSG00000000827	2.935493	0.868624	4.08436	1.549606	0.459902	1.650776	3.844807	1.878	2.184474	1.450568	2.171374	0.860936	2.828488	1.092159	1.597065	2.368635	0.081428	2.798256	1.749206	1.107608	2.841518	0.712637	1.158963	3.327315
ENSMUSG00000000838	4.708527283	5.615433489	8.532641845	4.400860599	4.642601465	5.164935177	3.084602782	3.701369601	4.487975153	0.112625	3.47500339	3.174465488	3.61639558	4.442667105	3.334558043	2.870356938	4.073328198	3.646831705	1.637288411	3.374970595	4.45907241	3.873685608	3.596187545	3.887706
ENSMUSG00000000876	42.44833823	50.33098847	33.32524575	30.86561935	39.87346033	44.85538768	28.66646306	24.8274579	27.42812403	24.61922438	32.25522322	25.94193738	29.4826011	29.0305463	27.55033146	23.36508612	35.35239582	30.35655375	36.83491276	33.79084438	23.72542086	23.91898792	31.40267612	27.42250489
ENSMUSG00000000901	243.418457	223.76062	97.128151	235.057602	144.635956	160.014557	115.66552	148.911606	54.243114	78.060265	97.399727	84.298416	93.648941	75.698914	97.539177	78.013046	114.119453	107.704834	126.975937	98.87709	93.236931	65.972336	75.777115	99.816467
ENSMUSG00000000902	16.701653	13.946494	19.184109	12.307231	13.904472	11.982443	10.529608	12.36239	9.313174	6.156604	6.326235	7.292776	7.673477	6.927664	7.348564	6.975973	8.373261	7.951087	9.406434	12.245003	7.52862	7.115694	4.970348	6.200862
